id,value,Author,Skill Statement,parent_id,Keywords,Standards,Certifications,Occupation Major Groups,Occupation Minor Groups,Broad Occupations,Detailed Occupations,O*Net Job Codes,Employers,Alignment Name,Alignment URL,Alignment Framework
https://osmt.wgu.edu/api/skills/fd85cb5c-dd84-4b6c-b757-86c9c029bcdc,Describe Analytic Strategies,Western Governors University,Describe the use of learning analytics for assessment strategies.,Instructional Design,Instructional Design; Learner Analytics; Assessment; WGUSID: 10959,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_3a; ISTE_Educators_3b; InTASC_3c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; InTASC_6r,,25-0000,25-9000,25-9030,25-9031,,,Instructional Design,https://skills.emsidata.com/skills/KS1256C6DBYG39V53J4V,
https://osmt.wgu.edu/api/skills/caef75b7-999b-4a6b-8eb0-82daad2308de,Determine Actions,Western Governors University,Determine actions to be taken based up on learning analytic data and dashboard information.,Instructional Design,Instructional Design; Learner Analytics; WGUSID: 10962,ISTE_Educators_4d; ISTE_EdLeaders_2d; InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_3a; ISTE_Educators_3b; InTASC_3c; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; InTASC_6r,,25-0000,25-9000,25-9030,25-9031,,,Instructional Design,https://skills.emsidata.com/skills/KS1256C6DBYG39V53J4V,
https://osmt.wgu.edu/api/skills/dbbd8943-8ca6-446d-937e-945e296e3633,Describe Strategic Failure,Western Governors University,Describe the function of strategic failure.,Instructional Design,Instructional Design; Learner Analytics; WGUSID: 10963,ISTE_Educators_4d; InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; InTASC_6o; ISTE_Educators_3a; ISTE_Educators_3b; InTASC_3c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; InTASC_6r,,25-0000,25-9000,25-9030,25-9031,,,Instructional Design,https://skills.emsidata.com/skills/KS1256C6DBYG39V53J4V,
https://osmt.wgu.edu/api/skills/38a75dbc-b9b7-43f3-b794-902952955516,Predictive Learning Analytics,Western Governors University,Use predictive learning analytics for decision making.,Instructional Design,Instructional Design; Learner Analytics; WGUSID: 10967,ISTE_Educators_4d; InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_2b; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; InTASC_3c; ISTE_EdLeaders_3d; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; ISTE_Educators_2a; ISTE_Educators_2c; InTASC_6r,,25-0000,25-9000,25-9030,25-9031,,,Instructional Design,https://skills.emsidata.com/skills/KS1256C6DBYG39V53J4V,
https://osmt.wgu.edu/api/skills/df15fb16-a8eb-4ea3-94e8-79000506a47a,Instructional Problem Analysis,Western Governors University,Analyze an instructional problem.,Problem Solving,MEDLT201504; SEL: Executive Function; Problem Solving; Troubleshooting (Problem Solving); Instructional Design; WGUSID: 178,InTASC_3a; InTASC_3i; InTASC_4g; InTASC_8n; ISTE_EdLeaders_2c; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5b; ISTE.Coach.PLF.5cAAQEP_1d; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ISTE.Coach.PLF.5c; ATD.Org.ODC; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Prof.KM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; InTASC_3q; InTASC_6o; InTASC_6s; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.CA.1e,,25-0000; 33-0000,25-4000; 25-9000; 33-1000; 33-3000,25-4020; 25-9030; 25-9090; 33-1010; 33-3020; 33-3050,25-4022; 25-9031,,,Problem Solving,https://skills.emsidata.com/skills/KS125F678LV2KB3Z5XW0,
https://osmt.wgu.edu/api/skills/3de2ff4d-1e82-4a38-aa97-0de96c985db3,Implement Program Evaluation Strategy,Western Governors University,Implement a program evaluation strategy.,Program Evaluation,Program Evaluation; Educational Program Analysis; Program Planning; Educational Program Evaluation; WGUSID: 4291,ISTE_Educators_7c; InTASC_3a; InTASC_3i; InTASC_4g; InTASC_8n; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5b; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ISTE.Coach.PLF.5c; ATD.Org.ODC; ATD.Prof.LS; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ATD.Prof.KM; ISTE.Coach.PLF.5a; InTASC_3q; InTASC_6o; InTASC_6s; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE_EdLeaders_4a; ATD.Pers.C; ISTE.Coach.PLF.5cAAQEP_3d,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Program Evaluation,https://skills.emsidata.com/skills/KS1283T76NBCX550G0KK,
https://osmt.wgu.edu/api/skills/c0c49bd1-f218-4739-8e51-fa7facad3a3e,Determine Project Resources,Western Governors University,Determine the necessary resources to execute a project.,Project Management,Project Management; WGUSID: 2293,InTASC_3a; InTASC_3i; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ATD.Prof.KM; InTASC_3q; InTASC_6o; InTASC_6s; ISTE_EdLeaders_3a; ATD.Prof.TDFISTE_EdLeaders_2b,,11-0000; 15-0000; 25-0000,11-9000; 15-1200; 25-4000; 25-9000,11-9030; 15-1210; 25-4020; 25-9010; 25-9030; 25-9090,11-9033; 11-9039; 15-1212; 25-4022; 25-9011; 25-9031; 25-9099,,,Project Management,https://skills.emsidata.com/skills/KS1267F6MSPN366LX7ST,
https://osmt.wgu.edu/api/skills/824d8d7f-f229-4c5c-bc22-991afbc7dc7b,Workplace Relationship Application,Western Governors University,Apply strategic interpersonal skills to develop and maintain productive workplace relationships.,Social Skills,Being; Business_Ethics; Professional_Ethics; Social Skills; Interpersonal Skills; WGUSID: 6022.1,AAQEP_1f; ISTE_Educators_4d; InTASC_3i; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3l; InTASC_5d; ATD.Org.ODC; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_4b; ISTE_EdLeaders_2a; InTASC_6d; ISTE_Educators_1a; ISTE_Educators_1b; ISTE_Educators_2a; ISTE.Coach.PLF.5bAAQEP_1e; ATD.Pers.C; ATD.Pers.LL,,11-0000; 13-0000; 15-0000; 19-0000; 25-0000; 37-0000; 39-0000,11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 25-4000; 25-9000,11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 25-4020; 25-9030; 25-9090,11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041; 25-9031,,,Social Skills,https://skills.emsidata.com/skills/KS440PY6J2365XD540J3,
https://osmt.wgu.edu/api/skills/1ffeb5cf-f3f2-4033-9f66-5f1c617dc1d5,Team Communication Skills Implementation,Western Governors University,Implement communication skills to build cohesive work teams.,Strategic Communication,Strategic Communication; WGUSID: 4123,AAQEP_1f; ISTE_Educators_4d; InTASC_3i; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3l; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_EdLeaders_4a; InTASC_6d; ISTE.Coach.PLF.5bAAQEP_1e; ATD.Pers.C,,25-0000,25-4000; 25-9000,25-4020; 25-9030,25-4022; 25-9031,,,Strategic Communication,https://skills.emsidata.com/skills/KS440ZZ6HM0NG5586DTZ,
https://osmt.wgu.edu/api/skills/23300ed3-a04e-41d0-ac9f-e707399ce59c,Communication Modeling,Western Governors University,Model effective ways of communicating in a variety of media.,Strategic Communication,Strategic Communication; WGUSID: 5055; Healthy Learning Strategies; TC Disposition 6,ISTE_Educators_4d; ISTE_EdLeaders_2d; InTASC_3i; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; InTASC_3b; InTASC_3e; InTASC_3l; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; InTASC_6o; ISTE_Educators_6d; InTASC_6d; ATD.Pers.C; ATD.Prof.TDFISTE_Educators_3d,,25-0000,25-4000; 25-9000,25-4020; 25-9030,25-4022; 25-9031,,,Strategic Communication,https://skills.emsidata.com/skills/KS440ZZ6HM0NG5586DTZ,
https://osmt.wgu.edu/api/skills/e0a4cd58-31d3-4f91-a146-986c56b1a2d7,Strategic Plans and Strategies Implementation,Western Governors University,Implement strategic plans and strategies.,Strategic Planning,Strategic Planning; WGUSID: 4339,InTASC_3i; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3l; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_EdLeaders_4a; InTASC_6d; AAQEP_3e; ISTE.Coach.PLF.5bAAQEP_3d,,25-0000; 33-0000,25-4000; 25-9000; 33-1000,25-4020; 25-9030; 25-9090; 33-1010,25-4022; 25-9031,,,Strategic Planning,https://skills.emsidata.com/skills/KS1219261TYVPMGX8KVQ,
https://osmt.wgu.edu/api/skills/bee3b50a-7610-41c2-8d6f-e182775ca56e,Instruction Building Ownership,Western Governors University,Create instruction that builds a student's self-direction and sense of ownership in learning.,Student Engagement,Student Engagement; WGUSID: 1607; NGT; K-12 Teacher,ISTE_Educators_4d; ISTE_Educators_7c; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4b; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3l; InTASC_5d; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_2b; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE.Coach.PLF.5bAAQEP_1a; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; InTASC_6d; InTASC_5b; UDL_3.7; SL_GL5,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Student Engagement,https://skills.emsidata.com/skills/KS441136MW75GNS0NQW9,
https://osmt.wgu.edu/api/skills/706bfa0d-57de-4766-9f29-f4a6b8d5cf37,Instructional Technology Integration,Western Governors University,Integrate instructional technologies to meet the needs of learners who require accommodation.,Academic Accommodation Plans,Academic Accommodation Plans; Accommodations; WGUSID: 4530,ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; ATD.Prof.LS; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6b; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE.Coach.C.3b; ATD.Pers.CE; ISTE.Coach.C.3d; ISTE.Coach.CA.1b; AAQEP_1c; AAQEP_2c; AAQEP_2b; InTASC_7b; InTASC_2f; IDA_KPS_4A; UDL_1.1; UDL_2.4; UDL_2.5,,11-0000; 25-0000,11-9000; 25-4000; 25-9000,11-9030; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Academic Accommodation Plans,https://skills.emsidata.com/skills/ES12F6869E7F07D20F2F,
https://osmt.wgu.edu/api/skills/bdfa2d1f-dd63-42f1-8dc7-67a34ae9b4f6,Subtitle Incorporation,Western Governors University,Incorporate subtitles into videos used in curriculum.,Academic Accommodation Plans,Academic Accommodation Plans; Accommodations; WGUSID: 4438,ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.CA.1a; ISTE_Educators_7a; ISTE_Educators_7b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6b; ISTE.Coach.LD.4c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE.Coach.C.3b; ATD.Pers.CE; ISTE.Coach.C.3d; ISTE.Coach.CA.1b; AAQEP_1c; ISTE_EdLeaders_3d; AAQEP_2c; ISTE.Coach.LD.4cAAQEP_1b,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Academic Accommodation Plans,https://skills.emsidata.com/skills/ES12F6869E7F07D20F2F,
https://osmt.wgu.edu/api/skills/1b5ca805-4659-48ec-a088-a67d507d90a2,Visual and Graphic Design Incorporation,Western Governors University,Incorporate visual and graphic design principles based on Section 508.,Academic Accommodation Plans,Academic Accommodation Plans; Accommodations; WGUSID: 4449,ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.CA.1a; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6b; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; AAQEP_1b; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE.Coach.C.3b; ATD.Pers.CE; ISTE.Coach.C.3d; ISTE.Coach.CA.1b; AAQEP_1c; AAQEP_2c; AAQEP_2b; AAQEP_3a,,11-0000; 25-0000,11-9000; 25-4000; 25-9000,11-9030; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Academic Accommodation Plans,https://skills.emsidata.com/skills/ES12F6869E7F07D20F2F,
https://osmt.wgu.edu/api/skills/5e94cb9d-4862-4db2-930a-058b2f950c31,System Change Proposal,Western Governors University,Propose system changes to meet the needs of students.,Advocacy,Advocacy; Educational Advocacy; Marketing; WGUSID: 5702,AAQEP_1f; InTASC_3a; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE_Educators_1c; ISTE_Educators_2b; ISTE_EdLeaders_2b; ISTE_Educators_4a; AAQEP_2a; AAQEP_2c; ISTE_EdLeaders_2a; ISTE_Educators_2a; ISTE_Educators_2c; InTASC_7q; InTASC_10j; InTASC_10k; ISTE.Coach.CL.2cAAQEP_1a,,11-0000; 25-0000,11-9000; 25-1000; 25-2000; 25-4000; 25-9000,11-9030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Advocacy,https://skills.emsidata.com/skills/ESD2EDF2E51D7C90FD5F,
https://osmt.wgu.edu/api/skills/f874dad3-93dd-4fec-88d8-886827996e3c,Agile Project Plan Creation,Western Governors University,Create project plans based on the agile project management strategies model.,Agile Project Management,Agile Project Management; Project Management; WGUSID: 1693,InTASC_3a; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.CA.1a; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5c; ATD.Pers.PM; ISTE.Coach.PLF.5a; ISTE.Coach.PLF.5cISTE_EdLeaders_3a,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Agile Project Management,https://skills.emsidata.com/skills/ES5084E497CF6A499186,
https://osmt.wgu.edu/api/skills/d2c9388a-3890-44fe-b306-72557fd01732,Agile Application to an Educational Product,Western Governors University,Apply agile project management strategies to the development of educational projects.,Agile Project Management,Agile Project Management; Project Management; WGUSID: 388,InTASC_3a; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.CA.1a; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5c; ATD.Pers.PM; ISTE.Coach.PLF.5a; ISTE_Educators_5b; ISTE_EdLeaders_2a; ISTE.Coach.PLF.5cISTE_Educators_5a,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Agile Project Management,https://skills.emsidata.com/skills/ES5084E497CF6A499186,
https://osmt.wgu.edu/api/skills/03d8b203-29c4-41ad-a7c3-d9089bb98af9,Learning Experience Prototype,Western Governors University,Prototype a learning experience using the agile project management strategies model.,Agile Project Management,Agile Project Management; Project Management; WGUSID: 5712,InTASC_3a; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ATD.Pers.PM; ISTE.Coach.PLF.5bISTE_EdLeaders_2b,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Agile Project Management,https://skills.emsidata.com/skills/ES5084E497CF6A499186,
https://osmt.wgu.edu/api/skills/088c8027-15ac-4ead-a034-0801c2b5bbf4,Prototype Impact Measurement,Western Governors University,Measure the impact of the prototype learning experience using the agile project management strategies model.,Agile Project Management,Agile Project Management; Project Management; WGUSID: 5017,InTASC_3a; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5c; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Pers.PM; ISTE.Coach.PLF.5cISTE_EdLeaders_2c,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Agile Project Management,https://skills.emsidata.com/skills/ES5084E497CF6A499186,
https://osmt.wgu.edu/api/skills/2cbb15b7-cfb9-4f5d-bebc-105d6b658107,Learning Interventions Development,Western Governors University,Identify opportunities for the development of learning interventions.,Evidence-Based Practice,WGUSID: 3805,InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; ISTE.Coach.DCA.7a; ISTE.Coach.DCA.7b; ISTE.Coach.CA.1e; ISTE.Coach.PLF.5bISTE_EdLeaders_4a,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Evidence-Based Practice,https://lightcast.io/open-skills/skills/KS123987840L8J17862K/evidence-based-practice,
https://osmt.wgu.edu/api/skills/5fdd2068-bb74-42d2-98dd-1fed0d40856b,Educational Change Impact Analysis,Western Governors University,"Analyze the impact of changes in educational programs, services, or systems.",Change Management,Change Management; WGUSID: 272,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.CA.1a; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE_Educators_7a; ISTE_Educators_7b; ISTE.Coach.PLF.5c; ATD.Org.ODC; ISTE.Coach.DDM.6c; ATD.Pers.CL; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.C.3c; ISTE.Coach.PLF.5cAAQEP_4d,,11-0000; 25-0000,11-9000; 25-4000; 25-9000,11-9030; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Change Management,https://skills.emsidata.com/skills/KS121T569X502KJPS0F3,
https://osmt.wgu.edu/api/skills/64b525ba-b23b-4c1a-8e8f-30af482838a3,Propose Educational Change,Western Governors University,"Propose changes in educational programs, services, or systems.",Change Management,Change Management; WGUSID: 5692,InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ATD.Pers.CL; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.CA.1e; ISTE.Coach.C.3c; ISTE.Coach.CL.2cAAQEP_3d; ISTE_EdLeaders_5d,,11-0000; 25-0000,11-9000; 25-4000; 25-9000,11-9030; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Change Management,https://skills.emsidata.com/skills/KS121T569X502KJPS0F3,
https://osmt.wgu.edu/api/skills/e6810d98-acc1-4113-8eb9-69d3a5c54c18,Group Learning Experience Design,Western Governors University,Design group learning experiences.,Collaboration,Collaboration; WGUSID: 2102,ISTE_Educators_4d; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; InTASC_3h; InTASC_3l; InTASC_3o; ATD.Prof.LS; InTASC_3j; ISTE.Coach.PLF.5a; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; AAQEP_1b; ISTE_EdLeaders_4a; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; AAQEP_2c; ISTE.Coach.PLF.5aAAQEP_1a,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Collaboration,https://skills.emsidata.com/skills/KS7AASDV6UOE7VFBGF4D,
https://osmt.wgu.edu/api/skills/50ecde93-1eb4-434f-9780-53ee25fe02e6,Student Collaboration Planning,Western Governors University,Plan opportunities for students to collaborate in face-to-face or virtual environments.,Collaboration,Collaboration; WGUSID: 5497; NGT; K-12 Teacher,InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3l; InTASC_3o; InTASC_3j; ISTE.Coach.PLF.5a; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3d; ISTE_EdLeaders_3c,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Collaboration,https://skills.emsidata.com/skills/KS7AASDV6UOE7VFBGF4D,
